employee_id,q_work_life_balance,q_manager_effectiveness,q_career_growth,overall_satisfaction,satisfaction_category,open_comment
EMP0078,4.0,3.0,4.0,4.0,High,Supportive manager
EMP0079,4.0,4.0,1.0,4.0,High,Supportive manager
EMP0080,2.0,3.0,3.0,2.0,Low,No work life balance
EMP0081,4.0,4.0,4.0,4.0,High,Happy with benefits
EMP0082,4.0,5.0,4.0,5.0,High,Love my team
EMP0083,2.0,,2.0,4.0,High,Excellent culture
EMP0084,2.0,4.0,1.0,3.0,Medium,Average experience
EMP0085,3.0,3.0,4.0,4.0,High,Love my team
EMP0086,4.0,4.0,2.0,5.0,High,Great place to work
EMP0087,2.0,4.0,1.0,3.0,Medium,Work is okay
EMP0088,4.0,4.0,1.0,3.0,Medium,Nothing special
EMP0089,5.0,3.0,4.0,4.0,High,Excellent culture
EMP0090,3.0,4.0,3.0,3.0,Medium,Average experience
EMP0091,1.0,3.0,3.0,3.0,Medium,Could be better
EMP0092,3.0,4.0,5.0,4.0,High,Happy with benefits
EMP0093,,3.0,4.0,3.0,Medium,Work is okay
EMP0094,3.0,3.0,5.0,3.0,Medium,Could be better
EMP0095,3.0,4.0,2.0,4.0,High,Supportive manager
EMP0096,2.0,4.0,3.0,3.0,Medium,Nothing special
EMP0097,4.0,5.0,1.0,4.0,High,Supportive manager
EMP0098,4.0,3.0,3.0,4.0,High,Love my team
EMP0099,3.0,4.0,3.0,3.0,Medium,Work is okay
EMP0100,2.0,4.0,4.0,3.0,Medium,Could be better
EMP0101,3.0,4.0,3.0,4.0,High,Love my team
EMP0102,5.0,3.0,4.0,5.0,High,Happy with benefits
EMP0103,3.0,4.0,4.0,3.0,Medium,Normal workplace
EMP0104,,4.0,5.0,4.0,High,Excellent culture
EMP0105,2.0,4.0,3.0,3.0,Medium,Normal workplace
EMP0106,2.0,2.0,2.0,1.0,Low,Low career growth
EMP0107,4.0,4.0,3.0,4.0,High,Happy with benefits
EMP0108,4.0,5.0,2.0,5.0,High,Supportive manager
EMP0109,2.0,3.0,5.0,3.0,Medium,Work is okay
EMP0110,2.0,3.0,3.0,3.0,Medium,Could be better
EMP0111,3.0,4.0,3.0,3.0,Medium,Could be better
EMP0112,3.0,4.0,3.0,3.0,Medium,Normal workplace
EMP0113,4.0,5.0,4.0,4.0,High,Supportive manager
EMP0114,2.0,3.0,3.0,2.0,Low,Too much workload
EMP0115,4.0,5.0,2.0,3.0,Medium,Average experience
EMP0116,2.0,4.0,5.0,4.0,High,Great place to work
EMP0117,4.0,4.0,2.0,4.0,High,Love my team
EMP0118,3.0,4.0,3.0,4.0,High,Love my team
EMP0119,3.0,5.0,4.0,4.0,High,Supportive manager
EMP0120,4.0,5.0,1.0,4.0,High,Happy with benefits
EMP0121,4.0,3.0,4.0,3.0,Medium,Average experience
EMP0122,3.0,5.0,2.0,4.0,High,Supportive manager
EMP0123,1.0,4.0,4.0,3.0,Medium,Nothing special
EMP0124,2.0,4.0,2.0,2.0,Low,Need better leadership
EMP0125,,4.0,4.0,4.0,High,Supportive manager
EMP0126,2.0,4.0,5.0,4.0,High,Happy with benefits
EMP0127,4.0,5.0,4.0,4.0,High,Excellent culture
EMP0128,3.0,4.0,4.0,3.0,Medium,Normal workplace
EMP0129,3.0,,3.0,3.0,Medium,Average experience
EMP0130,3.0,3.0,3.0,2.0,Low,Too much workload
EMP0131,3.0,4.0,5.0,4.0,High,Happy with benefits
EMP0132,3.0,5.0,2.0,3.0,Medium,Work is okay
EMP0133,4.0,4.0,2.0,4.0,High,Excellent culture
EMP0134,4.0,3.0,4.0,5.0,High,Great place to work
EMP0135,4.0,5.0,2.0,4.0,High,Excellent culture
EMP0136,3.0,4.0,2.0,3.0,Medium,Nothing special
EMP0137,4.0,5.0,1.0,3.0,Medium,Could be better
EMP0138,4.0,4.0,3.0,4.0,High,Supportive manager
EMP0139,2.0,4.0,3.0,2.0,Low,Too much workload
EMP0140,3.0,5.0,3.0,4.0,High,Excellent culture
EMP0141,3.0,5.0,4.0,4.0,High,Happy with benefits
EMP0142,1.0,5.0,4.0,3.0,Medium,Could be better
EMP0143,4.0,5.0,3.0,4.0,High,Happy with benefits
EMP0144,2.0,3.0,3.0,3.0,Medium,Average experience
EMP0145,2.0,3.0,4.0,2.0,Low,No work life balance
EMP0146,3.0,4.0,5.0,4.0,High,Happy with benefits
EMP0147,4.0,,3.0,4.0,High,Happy with benefits
EMP0148,5.0,4.0,3.0,4.0,High,Love my team
EMP0149,2.0,5.0,2.0,3.0,Medium,Could be better
EMP0150,2.0,5.0,1.0,3.0,Medium,Work is okay
EMP0151,5.0,3.0,4.0,4.0,High,Love my team
EMP0152,1.0,3.0,4.0,3.0,Medium,Normal workplace
EMP0153,2.0,4.0,4.0,3.0,Medium,Normal workplace
EMP0154,5.0,4.0,3.0,5.0,High,Great place to work
EMP0155,4.0,3.0,5.0,5.0,High,Happy with benefits
EMP0156,3.0,,3.0,3.0,Medium,Work is okay
EMP0157,3.0,,4.0,3.0,Medium,Nothing special
EMP0158,5.0,4.0,3.0,4.0,High,Great place to work
EMP0159,,2.0,2.0,3.0,Medium,Average experience
EMP0160,5.0,2.0,4.0,5.0,High,Excellent culture
EMP0161,2.0,4.0,4.0,3.0,Medium,Work is okay
EMP0162,2.0,,4.0,2.0,Low,Poor management
EMP0163,4.0,5.0,3.0,4.0,High,Great place to work
EMP0164,1.0,,3.0,3.0,Medium,Could be better
EMP0165,3.0,5.0,5.0,4.0,High,Happy with benefits
EMP0166,4.0,5.0,5.0,5.0,High,Great place to work
EMP0167,3.0,4.0,4.0,4.0,High,Great place to work
EMP0168,2.0,4.0,3.0,3.0,Medium,Nothing special
EMP0169,3.0,5.0,4.0,4.0,High,Great place to work
EMP0170,3.0,5.0,4.0,4.0,High,Happy with benefits
EMP0171,2.0,,3.0,3.0,Medium,Could be better
EMP0172,2.0,2.0,3.0,2.0,Low,Poor management
EMP0173,5.0,3.0,3.0,4.0,High,Supportive manager
EMP0174,3.0,4.0,1.0,3.0,Medium,Normal workplace
EMP0175,5.0,4.0,3.0,4.0,High,Love my team
EMP0176,3.0,5.0,3.0,3.0,Medium,Work is okay
EMP0177,3.0,3.0,5.0,4.0,High,Happy with benefits
EMP0178,3.0,1.0,3.0,3.0,Medium,Normal workplace
EMP0179,5.0,5.0,2.0,4.0,High,Supportive manager
EMP0180,2.0,3.0,3.0,2.0,Low,Poor management
EMP0181,3.0,2.0,2.0,2.0,Low,Need better leadership
EMP0182,5.0,4.0,4.0,5.0,High,Love my team
EMP0183,5.0,5.0,4.0,5.0,High,Excellent culture
EMP0184,3.0,4.0,4.0,4.0,High,Supportive manager
EMP0185,1.0,3.0,2.0,2.0,Low,No work life balance
EMP0186,,4.0,3.0,4.0,High,Supportive manager
EMP0187,5.0,3.0,2.0,3.0,Medium,Normal workplace
EMP0188,4.0,,4.0,3.0,Medium,Nothing special
EMP0189,4.0,3.0,4.0,4.0,High,Great place to work
EMP0190,2.0,4.0,4.0,3.0,Medium,Could be better
EMP0191,3.0,4.0,3.0,3.0,Medium,Could be better
EMP0192,4.0,4.0,4.0,5.0,High,Great place to work
EMP0193,,3.0,5.0,2.0,Low,No work life balance
EMP0194,3.0,4.0,3.0,4.0,High,Great place to work
EMP0195,3.0,2.0,3.0,3.0,Medium,Normal workplace
EMP0196,2.0,4.0,2.0,3.0,Medium,Normal workplace
EMP0197,4.0,5.0,2.0,4.0,High,Love my team
EMP0198,3.0,2.0,3.0,2.0,Low,Need better leadership
EMP0199,5.0,3.0,5.0,4.0,High,Love my team
EMP0200,5.0,4.0,3.0,4.0,High,Great place to work
EMP0201,3.0,5.0,3.0,3.0,Medium,Average experience
EMP0202,1.0,,3.0,2.0,Low,Too much workload
EMP0203,4.0,3.0,3.0,3.0,Medium,Could be better
EMP0204,3.0,2.0,4.0,3.0,Medium,Average experience
EMP0205,4.0,4.0,1.0,3.0,Medium,Average experience
EMP0206,3.0,5.0,5.0,5.0,High,Excellent culture
EMP0207,1.0,4.0,2.0,3.0,Medium,Average experience
EMP0208,4.0,4.0,4.0,4.0,High,Happy with benefits
EMP0209,,4.0,2.0,3.0,Medium,Could be better
EMP0210,4.0,4.0,4.0,3.0,Medium,Work is okay
EMP0211,4.0,3.0,4.0,5.0,High,Supportive manager
EMP0212,3.0,5.0,4.0,4.0,High,Love my team
EMP0213,4.0,4.0,2.0,3.0,Medium,Normal workplace
EMP0214,4.0,4.0,3.0,4.0,High,Love my team
EMP0215,3.0,3.0,2.0,3.0,Medium,Normal workplace
EMP0216,3.0,5.0,3.0,4.0,High,Happy with benefits
EMP0217,2.0,4.0,4.0,4.0,High,Supportive manager
EMP0218,3.0,3.0,4.0,4.0,High,Love my team
EMP0219,3.0,5.0,3.0,3.0,Medium,Nothing special
EMP0220,3.0,3.0,2.0,2.0,Low,Low career growth
EMP0221,3.0,3.0,4.0,4.0,High,Love my team
EMP0222,2.0,3.0,3.0,1.0,Low,Too much workload
EMP0223,3.0,2.0,1.0,2.0,Low,Too much workload
EMP0224,2.0,4.0,4.0,2.0,Low,Low career growth
EMP0225,4.0,,3.0,3.0,Medium,Work is okay
EMP0226,2.0,3.0,5.0,3.0,Medium,Nothing special
EMP0227,3.0,2.0,2.0,2.0,Low,Low career growth
EMP0228,2.0,4.0,1.0,2.0,Low,Low career growth
EMP0229,4.0,4.0,4.0,3.0,Medium,Average experience
EMP0230,3.0,3.0,4.0,4.0,High,Great place to work
EMP0231,2.0,3.0,1.0,3.0,Medium,Average experience
EMP0232,2.0,3.0,2.0,2.0,Low,Low career growth
EMP0233,3.0,4.0,5.0,5.0,High,Excellent culture
EMP0234,3.0,3.0,3.0,3.0,Medium,Average experience
EMP0235,4.0,4.0,4.0,4.0,High,Love my team
EMP0236,2.0,3.0,2.0,2.0,Low,Poor management
EMP0237,2.0,4.0,1.0,2.0,Low,Poor management
EMP0238,4.0,5.0,3.0,5.0,High,Happy with benefits
EMP0239,4.0,4.0,3.0,4.0,High,Supportive manager
EMP0240,2.0,3.0,3.0,2.0,Low,Poor management
EMP0241,3.0,4.0,3.0,3.0,Medium,Nothing special
EMP0242,3.0,4.0,4.0,3.0,Medium,Could be better
EMP0243,3.0,4.0,3.0,3.0,Medium,Work is okay
EMP0244,2.0,3.0,2.0,2.0,Low,Low career growth
EMP0245,2.0,4.0,4.0,3.0,Medium,Could be better
EMP0246,2.0,4.0,1.0,2.0,Low,Too much workload
EMP0247,3.0,3.0,1.0,3.0,Medium,Nothing special
EMP0248,4.0,3.0,4.0,4.0,High,Happy with benefits
EMP0249,4.0,2.0,4.0,3.0,Medium,Average experience
EMP0250,5.0,2.0,3.0,3.0,Medium,Average experience
EMP0251,3.0,3.0,2.0,4.0,High,Happy with benefits
EMP0252,1.0,,2.0,3.0,Medium,Average experience
EMP0253,3.0,3.0,3.0,3.0,Medium,Average experience
EMP0254,2.0,4.0,1.0,2.0,Low,Poor management
EMP0255,1.0,4.0,2.0,3.0,Medium,Could be better
EMP0256,3.0,2.0,4.0,3.0,Medium,Nothing special
EMP0257,4.0,4.0,5.0,4.0,High,Supportive manager
EMP0258,3.0,5.0,3.0,4.0,High,Supportive manager
EMP0259,3.0,3.0,4.0,3.0,Medium,Could be better
EMP0260,3.0,4.0,1.0,3.0,Medium,Nothing special
EMP0261,5.0,,4.0,3.0,Medium,Average experience
EMP0262,3.0,4.0,2.0,3.0,Medium,Could be better
EMP0263,3.0,3.0,4.0,4.0,High,Supportive manager
EMP0264,4.0,2.0,3.0,3.0,Medium,Average experience
EMP0265,4.0,3.0,5.0,4.0,High,Supportive manager
EMP0266,4.0,4.0,2.0,3.0,Medium,Work is okay
EMP0267,4.0,3.0,4.0,4.0,High,Supportive manager
EMP0268,2.0,3.0,3.0,2.0,Low,No work life balance
EMP0269,1.0,3.0,3.0,2.0,Low,Low career growth
EMP0270,4.0,4.0,3.0,4.0,High,Happy with benefits
EMP0271,3.0,4.0,2.0,4.0,High,Supportive manager
EMP0272,2.0,4.0,3.0,3.0,Medium,Could be better
EMP0273,3.0,3.0,3.0,3.0,Medium,Could be better
EMP0274,5.0,5.0,3.0,5.0,High,Excellent culture
EMP0275,5.0,,3.0,4.0,High,Love my team
EMP0276,3.0,,4.0,3.0,Medium,Average experience
EMP0277,4.0,5.0,4.0,5.0,High,Happy with benefits
EMP0278,3.0,4.0,2.0,3.0,Medium,Normal workplace
EMP0279,2.0,4.0,4.0,3.0,Medium,Average experience
EMP0280,3.0,3.0,2.0,4.0,High,Excellent culture
EMP0281,5.0,,4.0,5.0,High,Great place to work
EMP0282,5.0,2.0,4.0,3.0,Medium,Average experience
EMP0283,3.0,3.0,1.0,1.0,Low,Need better leadership
EMP0284,2.0,3.0,3.0,3.0,Medium,Nothing special
EMP0285,5.0,5.0,3.0,4.0,High,Happy with benefits
EMP0286,5.0,4.0,2.0,3.0,Medium,Normal workplace
EMP0287,5.0,3.0,5.0,4.0,High,Love my team
EMP0288,3.0,3.0,2.0,4.0,High,Great place to work
EMP0289,1.0,3.0,2.0,2.0,Low,Need better leadership
EMP0290,2.0,3.0,3.0,3.0,Medium,Average experience
EMP0291,3.0,5.0,4.0,4.0,High,Love my team
EMP0292,3.0,2.0,3.0,2.0,Low,Too much workload
EMP0293,4.0,5.0,5.0,5.0,High,Happy with benefits
EMP0294,4.0,5.0,4.0,4.0,High,Great place to work
EMP0295,3.0,5.0,1.0,4.0,High,Love my team
EMP0296,3.0,3.0,3.0,3.0,Medium,Nothing special
EMP0297,3.0,4.0,3.0,4.0,High,Great place to work
EMP0298,2.0,2.0,4.0,2.0,Low,Need better leadership
EMP0299,3.0,3.0,1.0,3.0,Medium,Could be better
EMP0300,2.0,4.0,5.0,3.0,Medium,Normal workplace
EMP0301,2.0,5.0,4.0,3.0,Medium,Normal workplace
EMP0302,4.0,3.0,3.0,3.0,Medium,Average experience
EMP0303,5.0,3.0,5.0,4.0,High,Happy with benefits
EMP0304,3.0,4.0,5.0,4.0,High,Great place to work
EMP0305,3.0,2.0,4.0,3.0,Medium,Nothing special
EMP0306,3.0,4.0,4.0,3.0,Medium,Normal workplace
EMP0307,5.0,3.0,3.0,4.0,High,Happy with benefits
EMP0308,1.0,4.0,3.0,3.0,Medium,Normal workplace
EMP0309,3.0,3.0,3.0,3.0,Medium,Work is okay
EMP0310,3.0,3.0,2.0,3.0,Medium,Work is okay
EMP0311,2.0,4.0,2.0,3.0,Medium,Could be better
EMP0312,2.0,4.0,2.0,3.0,Medium,Work is okay
EMP0313,,3.0,3.0,2.0,Low,Poor management
EMP0314,3.0,3.0,1.0,2.0,Low,No work life balance
EMP0315,3.0,4.0,3.0,4.0,High,Supportive manager
EMP0316,3.0,5.0,3.0,5.0,High,Love my team
EMP0317,4.0,4.0,3.0,4.0,High,Excellent culture
EMP0318,4.0,5.0,3.0,4.0,High,Supportive manager
EMP0319,2.0,2.0,5.0,3.0,Medium,Work is okay
EMP0320,,4.0,5.0,3.0,Medium,Average experience
EMP0321,1.0,3.0,2.0,2.0,Low,Too much workload
EMP0322,3.0,2.0,3.0,2.0,Low,Low career growth
EMP0323,3.0,3.0,2.0,3.0,Medium,Normal workplace
EMP0324,2.0,5.0,2.0,3.0,Medium,Normal workplace
EMP0325,3.0,5.0,2.0,3.0,Medium,Average experience
EMP0326,3.0,4.0,4.0,3.0,Medium,Average experience
EMP0327,4.0,2.0,2.0,3.0,Medium,Normal workplace
EMP0328,,4.0,4.0,3.0,Medium,Could be better
EMP0329,1.0,4.0,4.0,2.0,Low,Need better leadership
EMP0330,3.0,4.0,5.0,4.0,High,Excellent culture
EMP0331,1.0,2.0,2.0,2.0,Low,Poor management
EMP0332,,3.0,4.0,3.0,Medium,Work is okay
EMP0333,3.0,,4.0,4.0,High,Great place to work
EMP0334,1.0,4.0,3.0,2.0,Low,Poor management
EMP0335,4.0,2.0,2.0,3.0,Medium,Work is okay
EMP0336,3.0,4.0,5.0,4.0,High,Excellent culture
EMP0337,3.0,4.0,3.0,3.0,Medium,Could be better
EMP0338,4.0,5.0,4.0,4.0,High,Supportive manager
EMP0339,4.0,4.0,2.0,4.0,High,Happy with benefits
EMP0340,2.0,4.0,2.0,2.0,Low,No work life balance
EMP0341,4.0,3.0,3.0,4.0,High,Happy with benefits
EMP0342,4.0,2.0,3.0,4.0,High,Happy with benefits
EMP0343,2.0,3.0,2.0,3.0,Medium,Average experience
EMP0344,5.0,5.0,3.0,5.0,High,Happy with benefits
EMP0345,2.0,5.0,1.0,3.0,Medium,Work is okay
EMP0346,5.0,5.0,2.0,5.0,High,Great place to work
EMP0347,3.0,4.0,4.0,4.0,High,Love my team
EMP0348,3.0,4.0,4.0,4.0,High,Excellent culture
EMP0349,2.0,,3.0,3.0,Medium,Average experience
EMP0350,3.0,4.0,2.0,3.0,Medium,Average experience
EMP0351,3.0,5.0,2.0,4.0,High,Happy with benefits
EMP0352,4.0,3.0,3.0,3.0,Medium,Could be better
EMP0353,2.0,5.0,4.0,3.0,Medium,Work is okay
EMP0354,2.0,3.0,4.0,3.0,Medium,Work is okay
EMP0355,,5.0,3.0,4.0,High,Happy with benefits
EMP0356,2.0,2.0,2.0,3.0,Medium,Could be better
EMP0357,2.0,4.0,4.0,3.0,Medium,Work is okay
EMP0358,5.0,3.0,2.0,4.0,High,Love my team
EMP0359,3.0,2.0,3.0,2.0,Low,No work life balance
EMP0360,4.0,4.0,5.0,4.0,High,Happy with benefits
EMP0361,2.0,5.0,4.0,3.0,Medium,Nothing special
EMP0362,4.0,3.0,3.0,3.0,Medium,Work is okay
EMP0363,4.0,2.0,2.0,3.0,Medium,Average experience
EMP0364,5.0,4.0,3.0,5.0,High,Great place to work
EMP0365,3.0,,4.0,3.0,Medium,Nothing special
EMP0366,1.0,4.0,3.0,3.0,Medium,Work is okay
EMP0367,4.0,5.0,5.0,5.0,High,Great place to work
EMP0368,5.0,4.0,5.0,4.0,High,Great place to work
EMP0369,3.0,5.0,5.0,4.0,High,Excellent culture
EMP0370,3.0,4.0,4.0,4.0,High,Love my team
EMP0371,2.0,3.0,4.0,3.0,Medium,Work is okay
EMP0372,4.0,2.0,5.0,3.0,Medium,Could be better
EMP0373,3.0,4.0,4.0,4.0,High,Supportive manager
EMP0374,4.0,3.0,3.0,3.0,Medium,Normal workplace
EMP0375,1.0,5.0,3.0,4.0,High,Supportive manager
EMP0376,3.0,4.0,3.0,3.0,Medium,Normal workplace
EMP0377,,3.0,2.0,3.0,Medium,Average experience
EMP0378,3.0,4.0,3.0,5.0,High,Great place to work
EMP0379,4.0,4.0,5.0,4.0,High,Great place to work
EMP0380,3.0,5.0,1.0,3.0,Medium,Could be better
EMP0381,2.0,5.0,5.0,4.0,High,Happy with benefits
EMP0382,4.0,5.0,5.0,4.0,High,Great place to work
EMP0383,4.0,4.0,3.0,4.0,High,Excellent culture
EMP0384,5.0,4.0,4.0,5.0,High,Happy with benefits
EMP0385,3.0,5.0,3.0,3.0,Medium,Normal workplace
EMP0386,3.0,2.0,5.0,2.0,Low,Poor management
EMP0387,3.0,3.0,4.0,2.0,Low,Low career growth
EMP0388,2.0,3.0,2.0,3.0,Medium,Could be better
EMP0389,4.0,4.0,4.0,5.0,High,Great place to work
EMP0390,3.0,,3.0,4.0,High,Excellent culture
EMP0391,,3.0,3.0,4.0,High,Excellent culture
EMP0392,3.0,1.0,2.0,3.0,Medium,Average experience
EMP0393,3.0,,5.0,4.0,High,Excellent culture
EMP0394,2.0,5.0,4.0,3.0,Medium,Could be better
EMP0395,1.0,4.0,2.0,1.0,Low,Poor management
EMP0396,1.0,,2.0,2.0,Low,Too much workload
EMP0397,3.0,4.0,3.0,3.0,Medium,Work is okay
EMP0398,2.0,3.0,4.0,3.0,Medium,Normal workplace
EMP0399,5.0,4.0,3.0,4.0,High,Supportive manager
EMP0400,4.0,3.0,5.0,4.0,High,Happy with benefits
EMP0401,2.0,5.0,4.0,4.0,High,Love my team
EMP0402,5.0,4.0,4.0,4.0,High,Love my team
EMP0403,3.0,3.0,4.0,4.0,High,Love my team
EMP0404,5.0,3.0,2.0,4.0,High,Love my team
EMP0405,4.0,4.0,3.0,4.0,High,Supportive manager
EMP0406,,,4.0,4.0,High,Great place to work
EMP0407,2.0,5.0,3.0,3.0,Medium,Could be better
EMP0408,2.0,4.0,4.0,4.0,High,Excellent culture
EMP0409,3.0,3.0,3.0,2.0,Low,Low career growth
EMP0410,2.0,5.0,2.0,3.0,Medium,Could be better
EMP0411,1.0,4.0,3.0,3.0,Medium,Work is okay
EMP0412,2.0,5.0,4.0,4.0,High,Love my team
EMP0413,5.0,3.0,2.0,4.0,High,Great place to work
EMP0414,3.0,4.0,3.0,3.0,Medium,Nothing special
EMP0415,4.0,4.0,2.0,3.0,Medium,Average experience
EMP0416,3.0,2.0,5.0,3.0,Medium,Nothing special
EMP0417,1.0,5.0,3.0,3.0,Medium,Could be better
EMP0418,2.0,5.0,5.0,3.0,Medium,Could be better
EMP0419,,3.0,5.0,3.0,Medium,Nothing special
EMP0420,3.0,3.0,3.0,2.0,Low,No work life balance
EMP0421,2.0,4.0,2.0,2.0,Low,No work life balance
EMP0422,5.0,4.0,1.0,3.0,Medium,Could be better
EMP0423,3.0,4.0,1.0,3.0,Medium,Could be better
EMP0424,4.0,4.0,2.0,4.0,High,Great place to work
EMP0425,2.0,4.0,5.0,3.0,Medium,Could be better
EMP0426,3.0,5.0,3.0,4.0,High,Supportive manager
EMP0427,4.0,4.0,4.0,3.0,Medium,Work is okay
EMP0428,4.0,3.0,1.0,3.0,Medium,Work is okay
EMP0429,2.0,5.0,2.0,3.0,Medium,Average experience
EMP0430,3.0,5.0,4.0,4.0,High,Excellent culture
EMP0431,4.0,5.0,4.0,5.0,High,Excellent culture
EMP0432,4.0,,3.0,4.0,High,Happy with benefits
EMP0433,2.0,4.0,4.0,4.0,High,Supportive manager
EMP0434,2.0,2.0,5.0,3.0,Medium,Normal workplace
EMP0435,2.0,4.0,3.0,3.0,Medium,Work is okay
EMP0436,4.0,3.0,3.0,3.0,Medium,Average experience
EMP0437,2.0,5.0,3.0,3.0,Medium,Average experience
EMP0438,5.0,3.0,5.0,4.0,High,Excellent culture
EMP0439,5.0,,1.0,3.0,Medium,Could be better
EMP0440,3.0,3.0,4.0,2.0,Low,Need better leadership
EMP0441,4.0,2.0,3.0,3.0,Medium,Work is okay
EMP0442,3.0,5.0,4.0,4.0,High,Great place to work
EMP0443,2.0,2.0,2.0,2.0,Low,Too much workload
EMP0444,3.0,4.0,3.0,3.0,Medium,Normal workplace
EMP0445,4.0,2.0,4.0,4.0,High,Supportive manager
EMP0446,2.0,3.0,5.0,3.0,Medium,Work is okay
EMP0447,4.0,5.0,4.0,4.0,High,Excellent culture
EMP0448,3.0,4.0,2.0,3.0,Medium,Nothing special
EMP0449,3.0,3.0,3.0,3.0,Medium,Normal workplace
EMP0450,2.0,4.0,3.0,4.0,High,Happy with benefits
EMP0451,3.0,4.0,1.0,3.0,Medium,Average experience
